System;Site;Replication-task;ARN
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a19;arn:aws:dms:us-east-2:846946056819:task:3BSA4Y3QGA6M4X6ZT5LOVSD5RVZ7LMRZVCEM4WA
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a19;arn:aws:dms:us-east-2:846946056819:task:BZID7VVEGCBLVGABKJ4C6E2BG2KF5BVQWOYR72Y
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a20;arn:aws:dms:us-east-2:846946056819:task:J4VFFPLC37SWXZB4M2APQ5SA4Q6VYA6FZYUIOAI
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a20;arn:aws:dms:us-east-2:846946056819:task:IK43KBEBDTSL2CQVODCTXI53G32NM24VWBXXEOY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a21;arn:aws:dms:us-east-2:846946056819:task:UOF7LOHFA4WT22V6AHNW53VA7Z3EJ7EZGNK2TIQ
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a21;arn:aws:dms:us-east-2:846946056819:task:DXPFK6WZRLRD6WJKZZUD6PJW4XJ653JEH7NJ6OA
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a22;arn:aws:dms:us-east-2:846946056819:task:2RNEIJ3ZM7BE5KLHHVSQBHMV6NKSUNBDF5WI7BQ
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a22;arn:aws:dms:us-east-2:846946056819:task:3LCDIFZ7PH3ZSE66SCUY3RUOS5UHVDAR2SFPH6Q
trw1000;global;edb-mq-dia-repl-task-trw1000-a1;arn:aws:dms:us-east-2:846946056819:task:EP77KFM2G3NQQZ6FG5VGYC6YB27XUKYXC2MUNUI
trw1000;global;edb-mq-dia-repl-task-trw1000-a2;arn:aws:dms:us-east-2:846946056819:task:RHVGWN6EJHBBHV55EAFF2A2RNDC37MGLDG2TYUQ
trw1000;global;edb-mq-dia-repl-task-trw1000-a3;arn:aws:dms:us-east-2:846946056819:task:IIM25CJ6P5HKR3TVEXRGAUNUVIPUC2VGAW5C4DA
trw1000;global;edb-mq-dia-repl-task-trw1000-a4;arn:aws:dms:us-east-2:846946056819:task:S4XOAPACG6UHE5FJTDHLWVFJYYHM5UIUCTDIJAQ
trw138;global;edb-mq-dia-repl-task-trw138-a1;arn:aws:dms:us-east-2:846946056819:task:D6UKKLN6EXASUFS3N37NVB5HJJ6Z3HTDVL3XY3A
trw138;global;edb-mq-dia-repl-task-trw138-a2;arn:aws:dms:us-east-2:846946056819:task:CJBOPWJT3GKOAKDJHF2HDOTMTKV24UVZQK3NZKQ
trw138;global;edb-mq-dia-repl-task-trw138-a3;arn:aws:dms:us-east-2:846946056819:task:WNLZCUZNRUOORBGCR5L33SFNJ4SVW6CEE7R5EKI
